['线椒', '12.0', '13.0', '12.5', '新', '2022-04-04']['豇豆', '5.0', '8.5', '6.75', '', '2022-04-04']['白不老', '4.5', '6.0', '5.25', '', '2022-04-04']['油豆', '6.5', '7.0', '6.75', '精品', '2022-04-04']['毛豆', '7.0', '7.2', '7.1', '', '2022-04-04']['玉米', '2.3', '2.5', '2.4', '', '2022-04-04']['花生', '5.0', '5.8', '5.4', '', '2022-04-04']['苦瓜', '5.5', '6.0', '5.75', '', '2022-04-04']['丝瓜', '4.5', '5.0', '4.75', '', '2022-04-04']['西葫芦', '1.6', '2.0', '1.8', '袋\\箱', '2022-04-04']['佛手瓜', '2.5', '3.0', '2.75', '', '2022-04-04']['贝贝南瓜', '4.5', '5.0', '4.75', '', '2022-04-04']['金丝南瓜', '1.8', '1.9', '1.85', '', '2022-04-04']['板栗南瓜', '3.5', '3.8', '3.65', '', '2022-04-04']['南北瓜', '1.6', '2.0', '1.8', '', '2022-04-04']['尖椒', '4.8', '6.0', '5.4', '袋\\箱', '2022-04-04']['红尖椒', '10.0', '11.0', '10.5', '', '2022-04-04']['美人椒', '16.0', '17.0', '16.5', '', '2022-04-04']['螺丝椒', '9.0', '10.0', '9.5', '精选', '2022-04-04']['柿子椒', '4.0', '4.5', '4.25', '袋\\箱', '2022-04-04']['线椒', '12.0', '13.0', '12.5', '新', '2022-04-04']['豇豆', '5.0', '8.5', '6.75', '', '2022-04-04']
['白不老', '4.5', '6.0', '5.25', '', '2022-04-04']
['油豆', '6.5', '7.0', '6.75', '精品', '2022-04-04']
['毛豆', '7.0', '7.2', '7.1', '', '2022-04-04']
['玉米', '2.3', '2.5', '2.4', '', '2022-04-04']
['花生', '5.0', '5.8', '5.4', '', '2022-04-04']
['苦瓜', '5.5', '6.0', '5.75', '', '2022-04-04']
['丝瓜', '4.5', '5.0', '4.75', '', '2022-04-04']
['西葫芦', '1.6', '2.0', '1.8', '袋\\箱', '2022-04-04']
['佛手瓜', '2.5', '3.0', '2.75', '', '2022-04-04']
['贝贝南瓜', '4.5', '5.0', '4.75', '', '2022-04-04']
['金丝南瓜', '1.8', '1.9', '1.85', '', '2022-04-04']
['板栗南瓜', '3.5', '3.8', '3.65', '', '2022-04-04']
['南北瓜', '1.6', '2.0', '1.8', '', '2022-04-04']
['尖椒', '4.8', '6.0', '5.4', '袋\\箱', '2022-04-04']
['红尖椒', '10.0', '11.0', '10.5', '', '2022-04-04']
['美人椒', '16.0', '17.0', '16.5', '', '2022-04-04']
['螺丝椒', '9.0', '10.0', '9.5', '精选', '2022-04-04']
['柿子椒', '4.0', '4.5', '4.25', '袋\\箱', '2022-04-04']
['线椒', '12.0', '13.0', '12.5', '新', '2022-04-04']
['豇豆', '5.0', '8.5', '6.75', '', '2022-04-04']
['白不老', '4.5', '6.0', '5.25', '', '2022-04-04']
['油豆', '6.5', '7.0', '6.75', '精品', '2022-04-04']
['毛豆', '7.0', '7.2', '7.1', '', '2022-04-04']
['玉米', '2.3', '2.5', '2.4', '', '2022-04-04']
['花生', '5.0', '5.8', '5.4', '', '2022-04-04']
['苦瓜', '5.5', '6.0', '5.75', '', '2022-04-04']
['丝瓜', '4.5', '5.0', '4.75', '', '2022-04-04']
['西葫芦', '1.6', '2.0', '1.8', '袋\\箱', '2022-04-04']
['佛手瓜', '2.5', '3.0', '2.75', '', '2022-04-04']
['贝贝南瓜', '4.5', '5.0', '4.75', '', '2022-04-04']
['金丝南瓜', '1.8', '1.9', '1.85', '', '2022-04-04']
['板栗南瓜', '3.5', '3.8', '3.65', '', '2022-04-04']
['南北瓜', '1.6', '2.0', '1.8', '', '2022-04-04']
['尖椒', '4.8', '6.0', '5.4', '袋\\箱', '2022-04-04']
['红尖椒', '10.0', '11.0', '10.5', '', '2022-04-04']
['美人椒', '16.0', '17.0', '16.5', '', '2022-04-04']
['螺丝椒', '9.0', '10.0', '9.5', '精选', '2022-04-04']
['柿子椒', '4.0', '4.5', '4.25', '袋\\箱', '2022-04-04']
['线椒', '12.0', '13.0', '12.5', '新', '2022-04-04']
